,id,id_cidade,lat,lon
0,70002,5300108,-15.7908403078715,-47.87965647379557
1,70003,5300108,-15.7906494140625,-47.88063430786133
2,70037,5300108,-15.805815696716309,-47.882789611816406
3,70040,5300108,-15.791918814182281,-47.884854674339294
4,70041,5300108,-15.78817594051361,-47.88176727294922
5,70042,5300108,-15.807534217834473,-47.86711502075195
6,70043,5300108,-15.807544708251953,-47.9025764465332
7,70044,5300108,-15.772597312927246,-47.890525817871094
8,70045,5300108,-15.788786888122559,-47.89335632324219
9,70046,5300108,-15.788786888122559,-47.89335632324219
10,70047,5300108,-15.788786888122559,-47.89335632324219
11,70048,5300108,-15.788786888122559,-47.89335632324219
12,70049,5300108,-15.79387092590332,-47.86841678619385
13,70050,5300108,-15.780257138338955,-47.862636219371446
14,70052,5300108,-15.780513763427734,-47.936431884765625
15,70053,5300108,-15.781241416931152,-47.8920955657959
16,70054,5300108,-15.788786888122559,-47.89335632324219
17,70055,5300108,-15.794251441955566,-47.870758056640625
18,70056,5300108,-15.788786888122559,-47.89335632324219
19,70057,5300108,-15.791106224060059,-47.879615783691406
20,70058,5300108,-15.788786888122559,-47.89335632324219
21,70059,5300108,-15.788786888122559,-47.89335632324219
22,70062,5300108,-15.788786888122559,-47.89335632324219
23,70064,5300108,-15.788786888122559,-47.89335632324219
24,70065,5300108,-15.788786888122559,-47.89335632324219
25,70067,5300108,-15.794732570648193,-47.880287170410156
26,70068,5300108,-15.788786888122559,-47.89335632324219
27,70070,5300108,-15.80051428155054,-47.88699345649043
28,70071,5300108,-15.790592765808105,-47.93433303833008
29,70072,5300108,-15.798332214355469,-47.8824348449707
30,70073,5300108,-15.798964182535807,-47.882408142089844
31,70074,5300108,-15.795126914978027,-47.89345932006836
32,70075,5300108,-15.785106658935547,-47.9080696105957
33,70076,5300108,-15.798332214355469,-47.8824348449707
34,70077,5300108,-15.786656856536865,-47.895633697509766
35,70078,5300108,-15.800599098205566,-47.88326644897461
36,70079,5300108,-15.801972389221191,-47.881370544433594
37,70083,5300108,-15.797645568847656,-47.86408233642578
38,70089,5300108,-15.81201171875,-47.91637992858887
39,70091,5300108,-15.784470558166504,-47.908050537109375
40,70092,5300108,-15.803814888000488,-47.88410949707031
41,70093,5300108,-15.81817626953125,-47.917259216308594
42,70094,5300108,-15.79049186706543,-47.892310333251956
43,70095,5300108,-15.807673136393229,-47.867173512776695
44,70097,5300108,-15.79880428314209,-47.87952423095703
45,70098,5300108,-15.799698829650879,-47.87946319580078
46,70100,5300108,-15.799496412277222,-47.86141490936279
47,70150,5300108,-15.801032447814942,-47.896969604492185
48,70160,5300108,-15.800668716430664,-47.86128234863281
49,70165,5300108,-15.800668716430664,-47.86128234863281
50,70170,5300108,-15.788786888122559,-47.89335632324219
51,70175,5300108,-15.79915714263916,-47.8626823425293
52,70200,5300108,-15.821935796737671,-47.89060411453247
53,70203,5300108,-15.823909759521484,-47.897708892822266
54,70210,5300108,-15.831602001190186,-47.91802736918132
55,70232,5300108,-15.804815928141275,-47.88736422856649
56,70233,5300108,-15.807861664715935,-47.889197405646826
57,70234,5300108,-15.808077460841128,-47.89141584697523
58,70235,5300108,-15.813280049492331,-47.89366351856905
59,70236,5300108,-15.808291541205513,-47.88508817884657
60,70237,5300108,-15.811343669891357,-47.88865940387432
61,70238,5300108,-15.81307563075313,-47.89096111721463
62,70239,5300108,-15.815324340547834,-47.89123780386789
63,70252,5300108,-15.814386155870226,-47.8954823811849
64,70253,5300108,-15.817402839660645,-47.89886452169979
65,70254,5300108,-15.81984190940857,-47.901130294799806
66,70255,5300108,-15.8185156754085,-47.89594595772879
67,70256,5300108,-15.818342669256802,-47.8963929538069
68,70257,5300108,-15.82231221375642,-47.899613274468315
69,70258,5300108,-15.824260895068829,-47.902313379141
70,70272,5300108,-15.821987937478458,-47.90435431985294
71,70273,5300108,-15.823706097073025,-47.906318452623154
